# r   twist     Flap      Edge       Shear_Flap Shear_Edge  Torsional   Extorsional
2.800 0.000 6.18725E+10 6.10115E+10 2.50824E+09 1.94278E+09 2.74558E+10 1.77862E+10
4.815 0.000 6.21762E+10 6.11168E+10 2.50777E+09 1.94662E+09 2.74780E+10 1.78421E+10
6.542 0.000 6.29962E+10 6.11280E+10 2.48659E+09 1.97301E+09 2.73239E+10 1.80823E+10
8.269 0.000 6.01470E+10 5.80854E+10 2.34480E+09 1.95352E+09 2.55957E+10 1.76558E+10
9.996 0.000 5.45560E+10 5.30459E+10 2.08251E+09 1.85385E+09 2.21409E+10 1.68486E+10
11.724 -42.804 4.41034E+10 5.08642E+10 1.77813E+09 1.78112E+09 1.83903E+10 1.59612E+10
13.450 -35.909 3.57932E+10 4.39376E+10 1.45588E+09 1.64835E+09 1.39696E+10 1.48286E+10
15.176 -25.737 2.83899E+10 3.78679E+10 1.17463E+09 1.51044E+09 1.01006E+10 1.38507E+10
16.904 -18.927 2.26907E+10 3.37672E+10 9.87891E+08 1.44507E+09 7.44770E+09 1.32546E+10
18.344 -14.276 1.91244E+10 3.17664E+10 8.70111E+08 1.46609E+09 6.02823E+09 1.28963E+10
20.498 -10.974 1.47868E+10 2.75020E+10 7.25240E+08 1.24506E+09 4.05189E+09 1.16858E+10
22.232 -8.868 1.26547E+10 2.53839E+10 6.79697E+08 1.10706E+09 3.35076E+09 1.10112E+10
23.959 -7.622 1.08079E+10 2.29327E+10 6.16349E+08 9.45730E+08 2.63788E+09 1.02689E+10
25.686 -6.790 9.33271E+09 2.06461E+10 5.70040E+08 8.14261E+08 2.11902E+09 9.65883E+09
27.413 -6.090 8.13856E+09 1.87714E+10 5.36634E+08 7.17667E+08 1.74369E+09 9.18510E+09
29.141 -4.893 6.88290E+09 1.87537E+10 5.01728E+08 6.13038E+08 1.41867E+09 8.71213E+09
30.868 -4.530 6.09324E+09 1.76630E+10 4.86058E+08 6.01692E+08 1.24251E+09 8.55730E+09
32.595 -4.252 5.39730E+09 1.65096E+10 4.65596E+08 5.74650E+08 1.08953E+09 8.38322E+09
34.323 -4.103 4.79796E+09 1.50449E+10 4.45718E+08 5.64692E+08 9.61883E+08 8.19207E+09
36.050 -3.926 4.26081E+09 1.35375E+10 4.20064E+08 5.36743E+08 8.33476E+08 7.95316E+09
37.778 -3.651 3.79054E+09 1.24279E+10 3.98514E+08 5.25806E+08 7.44524E+08 7.76397E+09
39.505 -3.350 3.35012E+09 1.14783E+10 3.76533E+08 5.12586E+08 6.54383E+08 7.55514E+09
41.233 -3.092 2.95524E+09 1.04400E+10 3.56451E+08 4.84342E+08 5.70807E+08 7.32778E+09
42.873 -2.886 2.61810E+09 9.46806E+09 3.37613E+08 4.71450E+08 5.02898E+08 7.10845E+09
44.601 -2.646 2.29631E+09 8.50260E+09 3.14753E+08 4.59389E+08 4.43186E+08 6.85305E+09
46.328 -2.411 2.01437E+09 7.70395E+09 2.98755E+08 4.46571E+08 3.91844E+08 6.62376E+09
48.055 -2.255 1.75660E+09 6.64424E+09 2.82327E+08 4.17871E+08 3.37858E+08 6.30815E+09
49.783 -2.047 1.53489E+09 5.97308E+09 2.63675E+08 4.05095E+08 2.97084E+08 6.05849E+09
51.510 -1.855 1.34558E+09 5.32893E+09 2.51635E+08 3.92555E+08 2.63998E+08 5.82418E+09
53.237 -1.696 1.16892E+09 4.66924E+09 2.33438E+08 3.65159E+08 2.25158E+08 5.52959E+09
55.051 -1.563 1.01512E+09 3.99141E+09 2.21808E+08 3.51108E+08 1.98463E+08 5.25179E+09
56.779 -1.417 8.85389E+08 3.53974E+09 2.08679E+08 3.38907E+08 1.74822E+08 5.00724E+09
58.506 -1.289 7.71509E+08 3.04985E+09 1.98834E+08 3.13670E+08 1.52364E+08 4.73786E+09
60.233 -1.187 6.68362E+08 2.61588E+09 1.85593E+08 2.99341E+08 1.32571E+08 4.45066E+09
61.961 -1.095 5.78103E+08 2.27123E+09 1.74101E+08 2.87791E+08 1.16517E+08 4.18450E+09
63.688 -0.995 4.99512E+08 1.92187E+09 1.63097E+08 2.64946E+08 1.01385E+08 3.90198E+09
65.354 -0.922 4.29167E+08 1.66656E+09 1.53130E+08 2.54049E+08 8.91635E+07 3.63473E+09
67.081 -0.865 3.63223E+08 1.39311E+09 1.45336E+08 2.40108E+08 7.70090E+07 3.33659E+09
68.808 -0.782 3.04756E+08 1.18456E+09 1.35486E+08 2.20012E+08 6.56225E+07 3.04974E+09
70.535 -0.741 2.53941E+08 9.97633E+08 1.26316E+08 2.09432E+08 5.67279E+07 2.77644E+09
72.324 -0.672 2.08212E+08 8.15025E+08 1.17166E+08 1.90429E+08 4.79912E+07 2.48857E+09
74.052 -0.649 1.71028E+08 6.85021E+08 1.09077E+08 1.81272E+08 4.14719E+07 2.24347E+09
75.779 -0.599 1.38112E+08 5.53974E+08 9.88451E+07 1.74860E+08 3.56780E+07 1.98122E+09
77.459 -0.574 1.08707E+08 4.60660E+08 9.09441E+07 1.53558E+08 2.89875E+07 1.72044E+09
79.186 -0.539 8.39391E+07 3.59048E+08 8.32025E+07 1.42945E+08 2.39023E+07 1.46713E+09
80.961 -0.572 6.30619E+07 2.96049E+08 7.43227E+07 1.39482E+08 2.02493E+07 1.24959E+09
82.688 -0.547 4.42760E+07 2.17147E+08 6.27766E+07 1.23199E+08 1.55370E+07 1.00649E+09
84.377 -0.593 2.83398E+07 1.55000E+08 4.96109E+07 1.10416E+08 1.13923E+07 7.79107E+08
86.143 -0.688 1.44813E+07 1.00370E+08 3.75804E+07 9.39498E+07 7.21379E+06 5.53866E+08
87.871 -0.793 4.49695E+06 4.17163E+07 2.30147E+07 6.46572E+07 2.93572E+06 3.07403E+08
89.166 -0.955 1.02747E+06 1.27145E+07 1.22510E+07 3.86194E+07 7.93304E+05 1.72203E+08
