r_start r_end       c1             c2           c3              c4
2.8000 8.1960 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.38000000E+00
8.1960 19.9548 -4.61301443E-04 1.04228497E-02 0.00000000E+00 5.38000000E+00
19.9548 28.0124 9.54064544E-05 -5.85020456E-03 5.37688193E-02 6.07113924E+00
28.0124 38.2220 7.94309215E-05 -3.54396342E-03 -2.19256287E-02 6.17447367E+00
38.2220 55.0271 2.42467032E-05 -1.11108961E-03 -6.94518582E-02 5.66574440E+00
55.0271 70.0576 8.59761392E-06 1.11315203E-04 -8.62531671E-02 4.29988830E+00
70.0576 78.1586 4.71207167E-06 4.98994511E-04 -7.70799070E-02 3.05780226E+00
78.1586 85.0000 -4.39083118E-04 6.13511989E-04 -6.80674918E-02 2.46863016E+00
85.0000 86.2521 -1.32866948E-03 -8.39831774E-03 -1.21326462E-01 1.89106967E+00
86.2521 88.6595 -1.47600180E-02 -1.33891816E-02 -1.48606495E-01 1.72338280E+00
88.6595 88.9861 -6.79818589E+00 -1.19989176E-01 -4.69702133E-01 1.08209177E+00
88.9861 89.1660 1.04359293E+01 -6.78085172E+00 -2.72351677E+00 6.79055450E-01
